City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Marawi,7.9986,124.2928,65.64,93,95,1.28,PH,2021-08-14 14:28:56
137,Sao Miguel Do Araguaia,-13.275,-50.1628,92.77,18,3,10.0,BR,2021-08-14 14:28:57
138,Cururupu,-1.8283,-44.8683,86.13,62,23,7.99,BR,2021-08-14 14:28:57
139,College,64.8569,-147.8028,48.18,92,75,5.75,US,2021-08-14 14:28:58
140,Sistranda,63.7256,8.834,58.89,85,100,18.34,NO,2021-08-14 14:28:58
141,Kahului,20.8947,-156.47,74.46,90,1,11.5,US,2021-08-14 14:25:50
142,Vardo,70.3705,31.1107,57.4,81,75,5.06,NO,2021-08-14 14:28:58
143,Neiafu,-18.65,-173.9833,68.68,77,20,5.75,TO,2021-08-14 14:28:59
144,Arraial Do Cabo,-22.9661,-42.0278,67.86,88,90,10.36,BR,2021-08-14 14:28:59
145,Imperial Beach,32.5839,-117.1131,73.99,88,1,0.0,US,2021-08-14 14:28:59
146,Bintulu,3.1667,113.0333,77.41,94,40,3.44,MY,2021-08-14 14:29:00
147,Amot,59.5714,7.9877,66.51,70,95,9.13,NO,2021-08-14 14:29:00
148,Quatre Cocos,-20.2078,57.7625,73.51,79,7,12.53,MU,2021-08-14 14:29:00
149,Sirajganj,24.45,89.7167,85.6,78,100,10.89,BD,2021-08-14 14:29:01
150,Nago,26.5881,127.9761,82.83,90,29,8.43,JP,2021-08-14 14:29:01
151,Staryy Nadym,65.6118,72.6842,71.73,60,100,17.29,RU,2021-08-14 14:29:01
152,Sitka,57.0531,-135.33,55.29,88,90,5.75,US,2021-08-14 14:29:02
153,Airai,-8.9266,125.4092,55.74,79,8,3.53,TL,2021-08-14 14:29:02
154,Mandalgovi,45.7625,106.2708,64.26,62,76,8.1,MN,2021-08-14 14:29:02
155,Srednekolymsk,67.45,153.6833,46.0,94,100,7.78,RU,2021-08-14 14:29:03
156,Sanchez,19.2281,-69.6137,82.42,78,20,0.0,DO,2021-08-14 14:29:03
157,Noyabrsk,63.1994,75.4507,65.75,75,37,12.21,RU,2021-08-14 14:29:03
158,Vvedenskoye,55.4753,65.0847,77.34,35,5,3.31,RU,2021-08-14 14:29:03
159,Burns Lake,54.2331,-125.7533,63.82,57,100,8.88,CA,2021-08-14 14:29:04
160,Kaitangata,-46.2817,169.8464,45.46,78,97,14.29,NZ,2021-08-14 14:29:04
161,Kulhudhuffushi,6.6221,73.07,82.09,76,100,19.26,MV,2021-08-14 14:29:04
162,Turukhansk,65.8167,87.9833,56.34,77,24,3.36,RU,2021-08-14 14:29:05
163,Ilulissat,69.2167,-51.1,44.62,93,75,3.44,GL,2021-08-14 14:29:05
164,Cap Malheureux,-19.9842,57.6142,73.89,69,1,5.01,MU,2021-08-14 14:29:05
165,Luena,-11.7833,19.9167,87.57,10,4,5.57,AO,2021-08-14 14:29:06
166,Augustow,53.8432,22.9798,74.8,70,100,8.34,PL,2021-08-14 14:29:06
167,Barrow,71.2906,-156.7887,44.62,81,90,23.02,US,2021-08-14 14:29:06
168,Mount Isa,-20.7333,139.5,74.97,27,40,10.36,AU,2021-08-14 14:29:07
169,Yumen,40.2833,97.2,85.17,16,0,25.41,CN,2021-08-14 14:29:07
170,Duluth,46.7833,-92.1066,68.58,61,1,1.99,US,2021-08-14 14:25:55
171,Bathsheba,13.2167,-59.5167,83.01,78,75,6.91,BB,2021-08-14 14:29:07
172,Khatanga,71.9667,102.5,54.46,64,100,3.89,RU,2021-08-14 14:24:14
173,Dikson,73.5069,80.5464,46.18,99,100,3.83,RU,2021-08-14 14:29:08
174,Shingu,33.7333,135.9833,81.91,91,100,14.83,JP,2021-08-14 14:29:08
175,Saskylakh,71.9167,114.0833,52.83,63,100,5.5,RU,2021-08-14 14:29:09
176,Preobrazheniye,42.9019,133.9064,59.43,84,0,8.95,RU,2021-08-14 14:29:09
177,Kuah,6.3265,99.8432,80.6,89,20,2.3,MY,2021-08-14 14:29:09
178,Petropavlovsk-Kamchatskiy,53.0452,158.6483,48.79,100,75,0.0,RU,2021-08-14 14:29:10
179,Ketchikan,55.3422,-131.6461,57.81,97,69,3.76,US,2021-08-14 14:29:10
180,Faya,18.3851,42.4509,86.11,24,66,11.27,SA,2021-08-14 14:29:10
181,Longyearbyen,78.2186,15.6401,46.24,66,20,6.91,SJ,2021-08-14 14:29:11
182,Tupancireta,-29.0806,-53.8358,61.2,73,1,5.39,BR,2021-08-14 14:29:11
183,Altay,47.8667,88.1167,67.93,43,100,11.54,CN,2021-08-14 14:29:11
184,Santa Marta,11.2408,-74.199,83.25,66,32,1.28,CO,2021-08-14 14:29:12
185,Cherskiy,68.75,161.3,41.31,81,50,7.52,RU,2021-08-14 14:29:12
186,Havoysund,70.9963,24.6622,50.88,85,100,13.89,NO,2021-08-14 14:29:13
187,Hithadhoo,-0.6,73.0833,81.54,76,79,16.55,MV,2021-08-14 14:29:13
188,Guipavas,48.4352,-4.3972,77.07,59,0,11.5,FR,2021-08-14 14:29:13
189,Ornskoldsvik,63.2909,18.7153,66.02,77,40,11.5,SE,2021-08-14 14:29:14
190,East London,-33.0153,27.9116,58.14,82,40,12.66,ZA,2021-08-14 14:29:14
191,Chicama,-7.8447,-79.1469,61.34,69,58,2.35,PE,2021-08-14 14:29:14
192,Beyneu,45.3167,55.2,88.7,15,0,14.52,KZ,2021-08-14 14:29:15
193,Cadillac,44.2519,-85.4012,67.8,55,1,5.75,US,2021-08-14 14:28:16
194,Atkinson,42.8384,-71.147,89.42,71,1,3.0,US,2021-08-14 14:29:15
195,Goderich,43.7501,-81.7165,70.03,59,0,9.22,CA,2021-08-14 14:29:15
196,Luohe,33.5717,114.0353,71.4,85,0,5.19,CN,2021-08-14 14:29:16
197,Kudahuvadhoo,2.6708,72.8944,82.9,73,75,17.87,MV,2021-08-14 14:29:16
198,Hammerfest,70.6634,23.6821,50.45,76,75,10.36,NO,2021-08-14 14:29:16
199,Abu Dhabi,24.4667,54.3667,102.31,59,0,9.22,AE,2021-08-14 14:27:49
200,Beisfjord,68.3751,17.5988,64.04,68,46,6.26,NO,2021-08-14 14:29:17
201,Vegueta,-11.0231,-77.6431,63.21,77,48,5.03,PE,2021-08-14 14:29:17
202,Hobyo,5.3505,48.5268,79.74,77,93,30.71,SO,2021-08-14 14:29:17
203,Samana,19.2056,-69.3369,82.62,78,40,6.91,DO,2021-08-14 14:29:17
204,San Patricio,28.017,-97.5169,87.87,69,25,2.37,US,2021-08-14 14:29:18
205,Lorengau,-2.0226,147.2712,81.28,81,42,10.71,PG,2021-08-14 14:29:18
206,Goure,13.9835,10.2704,91.69,38,38,1.39,NE,2021-08-14 14:29:18
207,Margate,51.3813,1.3862,76.69,62,42,3.0,GB,2021-08-14 14:29:19
208,Aguimes,27.9054,-15.4461,77.63,65,20,33.38,ES,2021-08-14 14:29:19
209,Bahia Blanca,-38.7196,-62.2724,55.96,42,0,14.52,AR,2021-08-14 14:29:19
